frame,label,eye_position1_up_x,eye_position1_up_y,eye_position1_down_x,eye_position1_down_y,eye_position2_up_x,eye_position2_up_y,eye_position2_down_x,eye_position2_down_y,gaze_project_x,gaze_project_y,head_pitch,head_yaw,head_roll,eye_center_position1_x,eye_center_position1_y,eye_center_position2_x,eye_center_position2_y
Allen_5_1.mp4 0,1,452,183,481,212,387,177,432,222,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,0.0,0.0,-2.0,0.0
Allen_5_1.mp4 1,1,451,180,482,211,392,181,425,214,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-0.5,-0.5,-1.0,-1.0
Allen_5_1.mp4 2,1,452,180,482,210,391,180,424,213,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-0.5,-1.5,-1.5,-0.5
Allen_5_1.mp4 3,1,453,180,482,209,389,176,427,214,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-1.5,-1.5,-0.5,-1.5
Allen_5_1.mp4 4,1,607,456,635,484,387,175,423,211,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-1.5,-0.5,-0.5,-0.5
Allen_5_1.mp4 5,1,391,179,421,209,448,176,480,208,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-1.5,-0.5,-1.5,-0.5
Allen_5_1.mp4 6,1,390,180,420,210,608,456,634,482,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-1.5,-0.5,-1.0,-1.0
Allen_5_1.mp4 7,1,387,178,419,210,443,174,479,210,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-1.0,-1.0,-0.5,-1.5
Allen_5_1.mp4 8,1,382,179,415,212,438,174,474,210,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-1.0,-1.0,-1.5,-1.5
Allen_5_1.mp4 9,1,607,456,634,483,383,187,412,216,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-1.0,-1.0,-0.5,-1.5
Allen_5_1.mp4 10,1,382,185,421,224,441,186,478,223,62,25,-166.20176482788875,-17.575029045891895,-3.238738190504697,-0.5,-1.5,-1.0,-1.0
Allen_5_2.mp4 1,2,412,187,449,224,356,190,391,225,-66,23,-168.82811093581986,20.72418851599925,-1.4175601888118121,-1.0,-1.0,-1.5,-0.5
Allen_5_2.mp4 2,2,415,183,453,221,360,190,391,221,-66,23,-168.82811093581986,20.72418851599925,-1.4175601888118121,-1.0,-1.0,-1.0,-1.0
Allen_5_2.mp4 3,2,358,188,391,221,418,184,453,219,-66,23,-168.82811093581986,20.72418851599925,-1.4175601888118121,-1.0,-1.0,-1.0,-1.0
Allen_5_2.mp4 4,2,356,188,389,221,411,182,451,222,-66,23,-168.82811093581986,20.72418851599925,-1.4175601888118121,-1.5,-0.5,-0.5,-0.5
Allen_5_2.mp4 5,2,352,187,386,221,408,182,447,221,-66,23,-168.82811093581986,20.72418851599925,-1.4175601888118121,-1.5,-0.5,-1.5,-1.5
Allen_5_2.mp4 6,2,349,186,385,222,410,186,443,219,-66,23,-168.82811093581986,20.72418851599925,-1.4175601888118121,-0.5,-0.5,-1.5,-0.5
Allen_5_2.mp4 7,2,346,187,385,226,395,181,442,228,-66,23,-168.82811093581986,20.72418851599925,-1.4175601888118121,-1.0,-1.0,-0.5,-0.5
Allen_5_3.mp4 0,3,356,188,390,222,409,182,450,223,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,1.0,-2.0,-1.5,2.5
Allen_5_3.mp4 1,3,356,189,385,218,411,184,447,220,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,-0.5,-0.5,-1.5,-0.5
Allen_5_3.mp4 2,3,356,187,385,216,412,184,446,218,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,-1.5,-0.5,-1.0,-1.0
Allen_5_3.mp4 3,3,355,185,385,215,398,173,449,224,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,-0.5,-0.5,-0.5,-0.5
Allen_5_3.mp4 4,3,355,185,385,215,408,182,443,217,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,-0.5,-0.5,-1.0,-1.0
Allen_5_3.mp4 5,3,354,187,381,214,405,183,440,218,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,-1.0,-1.0,-0.5,-0.5
Allen_5_3.mp4 6,3,352,190,377,215,402,183,440,221,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,-1.0,-1.0,-1.0,-1.0
Allen_5_3.mp4 7,3,351,192,378,219,401,188,435,222,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,-0.5,-0.5,-1.0,-1.0
Allen_5_3.mp4 8,3,351,194,376,219,396,187,435,226,-104,20,-168.39693896804243,34.49268764326179,2.338022617026684,-0.5,-0.5,-1.0,-1.0
Allen_5_4.mp4 0,4,396,194,425,223,345,196,368,219,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-2.0,6.0,1.5,0.5
Allen_5_4.mp4 1,4,344,194,368,218,391,191,424,224,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-0.5,-0.5,-1.0,-1.0
Allen_5_4.mp4 2,4,345,192,368,215,393,188,427,222,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-0.5,-0.5,-1.5,-0.5
Allen_5_4.mp4 3,4,344,191,368,215,395,191,423,219,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-1.0,-1.0,-0.5,-0.5
Allen_5_4.mp4 4,4,344,191,367,214,394,192,422,220,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-1.0,-1.0,-1.0,-1.0
Allen_5_4.mp4 5,4,342,190,366,214,393,191,420,218,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-0.5,-0.5,-1.0,-1.0
Allen_5_4.mp4 6,4,342,192,364,214,391,190,419,218,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-1.0,-1.0,-1.0,-1.0
Allen_5_4.mp4 7,4,393,191,421,219,374,179,423,228,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-0.5,-0.5,-0.5,-0.5
Allen_5_4.mp4 8,4,341,192,364,215,387,187,422,222,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-0.5,-0.5,-1.5,-0.5
Allen_5_4.mp4 9,4,340,193,366,219,385,191,418,224,-73,4,179.74996072559944,42.85054982640793,178.20566807715804,-1.0,-1.0,-1.5,-0.5
Allen_5_5.mp4 0,5,342,184,390,232,242,300,283,341,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
Allen_5_5.mp4 1,5,366,199,389,222,324,244,382,302,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
Allen_5_5.mp4 2,5,346,184,393,231,324,246,374,296,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
Allen_5_5.mp4 3,5,347,185,392,230,322,246,375,299,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
Allen_5_5.mp4 5,5,362,194,386,218,345,183,393,231,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
Allen_5_5.mp4 8,5,340,182,392,234,357,196,379,218,-84,1,177.42428718897736,51.87997735048062,177.42186845990884,0,0,0,0
